model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
0-hero/Matter-0.2-7B-DPO,0-hero,7.242,8.90636130175029,33.02792147058693,10.055525080241035,1.4350453172205437,1.230425055928408,5.871874999999999,1.8173758865248217,apache-2.0,2024-04-13,1.219174164123715,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-1.5-34B,01-ai,34.389,25.64649419429311,28.411725333226947,42.74936268839652,15.332326283987916,15.436241610738257,11.217187500000003,40.732121749408975,apache-2.0,2024-05-11,22.7033978747449,🟢 pretrained
01-ai/Yi-1.5-34B-32K,01-ai,34.389,26.727912908508134,31.186917379220468,43.38184666762572,15.407854984894259,15.100671140939594,14.07786458333333,41.21232269503546,apache-2.0,2024-05-15,23.15462857509891,🟢 pretrained
01-ai/Yi-1.5-34B-Chat,01-ai,34.389,33.35799367075618,60.66758423205982,44.262825981005655,27.719033232628398,15.324384787472036,13.058072916666665,39.11606087470449,apache-2.0,2024-05-10,22.423843867327744,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-1.5-34B-Chat-16K,01-ai,34.389,29.403554842710225,45.6449997118756,44.53615654671034,21.37462235649547,11.74496644295302,13.736718750000001,39.383865248226954,apache-2.0,2024-05-15,6.774022458148835,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-1.5-6B,01-ai,6.061,16.745698054972127,26.166017278598567,22.027904536694773,6.646525679758309,8.501118568232664,13.309114583333335,23.823507683215126,apache-2.0,2024-05-11,1.8442095716487765,🟢 pretrained
01-ai/Yi-1.5-6B-Chat,01-ai,6.061,22.784006289829847,51.452701055421834,23.67872313235784,16.238670694864048,6.935123042505594,14.030468750000002,24.368351063829788,apache-2.0,2024-05-11,1.4447911071090622,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-1.5-9B,01-ai,8.829,22.153901514184795,29.358435617494916,30.50071699492122,11.404833836858005,17.225950782997764,12.030989583333332,32.402482269503544,apache-2.0,2024-05-11,1.4688920320817076,🟢 pretrained
01-ai/Yi-1.5-9B-32K,01-ai,8.829,19.809786285875365,23.031113002389215,28.937011582169664,10.80060422960725,14.541387024608499,10.82682291666667,30.721778959810877,apache-2.0,2024-05-15,1.5680734132696938,🟢 pretrained
01-ai/Yi-1.5-9B-Chat,01-ai,8.829,29.530872220260978,60.455258713546726,36.95293138417893,22.58308157099698,11.297539149888143,12.838281249999996,33.05814125295508,apache-2.0,2024-05-10,1.453543490910605,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-1.5-9B-Chat-16K,01-ai,8.829,23.76539234993476,42.14040966856828,31.497608947018318,17.82477341389728,7.829977628635347,10.03828125,33.261303191489354,apache-2.0,2024-05-15,1.5847450134017533,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-34B,01-ai,34.389,22.373127018936653,30.45751938190668,35.542431259008794,5.13595166163142,15.548098434004473,9.648437500000004,37.90632387706855,apache-2.0,2023-11-01,25.657483288779545,🟢 pretrained
01-ai/Yi-34B-200K,01-ai,34.389,20.01347533597433,15.424850507763843,36.02211028900003,5.740181268882175,14.205816554809845,9.414843749999998,39.273049645390074,apache-2.0,2023-11-06,25.50385584712952,🟢 pretrained
01-ai/Yi-34B-Chat,01-ai,34.389,24.226662652803373,46.98887839820566,37.623987597243485,6.268882175226587,11.74496644295302,8.363802083333338,34.369459219858165,apache-2.0,2023-11-22,25.125695689981566,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-6B,01-ai,6.061,13.611617485376058,28.93378458046871,19.408504737915056,1.5861027190332326,2.572706935123044,7.044270833333335,22.12433510638298,apache-2.0,2023-11-01,1.0985492537000408,🟢 pretrained
01-ai/Yi-6B-200K,01-ai,6.061,11.996098298832841,8.433068702154728,20.148020103768047,1.812688821752266,4.250559284116329,16.842447916666668,20.489804964539008,apache-2.0,2023-11-06,1.1264239806184515,🟢 pretrained
01-ai/Yi-6B-Chat,01-ai,6.061,14.11765000523676,33.95213588833185,17.00016656742376,1.3595166163141994,5.92841163310962,3.5656250000000003,22.90004432624113,apache-2.0,2023-11-22,1.1106656722436012,"💬 chat models (RLHF, DPO, IFT, ...)"
01-ai/Yi-9B,01-ai,8.829,17.811867367746064,27.08779372066118,27.626956112077934,5.589123867069486,9.060402684563762,8.909114583333334,28.59781323877068,apache-2.0,2024-03-01,1.530663961417017,🟢 pretrained
01-ai/Yi-9B-200K,01-ai,8.829,17.72955178611439,23.270921155866432,26.49249509714754,6.646525679758309,8.7248322147651,12.109114583333332,29.1334219858156,apache-2.0,2024-03-15,1.5489823437933046,🟢 pretrained
01-ai/Yi-Coder-9B-Chat,01-ai,8.829,16.985989314863886,48.17041006750976,25.94315294491389,4.003021148036254,0.0,7.963802083333333,15.83554964539007,apache-2.0,2024-08-21,1.8195322295921676,🔶 fine-tuned on domain-specific datasets
1-800-LLMs/Qwen-2.5-14B-Hindi,1-800-LLMs,14.77,36.266177006668904,58.2570911847232,49.32988995210337,33.30815709969788,14.988814317673373,14.350520833333334,47.362588652482266,mit,2025-02-03,3.8660742873468124,🔶 fine-tuned on domain-specific datasets
